Source,urn identifier,Astronomical event,Modern year,Modern month,day,observer location
Ptolemy Almagest,urn:cite2:chron:astron:1,total lunar eclipse,721BC,Mar,18,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:2,partial lunar eclipse,720BC,Mar,7,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:3,partial lunar eclipse,720BC,Sept,1,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:4,partial lunar eclipse,621BC,Apr,22,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:5,partial lunar eclipse,523BC,July,15,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:6,partial lunar eclipse,502BC,Nov,18,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:7,partial lunar eclipse,491BC,Apr,24,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:9,partial lunar eclipse,383BC,Dec,23,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:10,partial lunar eclipse,382BC,June,18,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:11,total lunar eclipse,382BC,Dec,11,Babylon
Ptolemy Almagest,urn:cite2:chron:astron:11,partial lunar eclipse,201BC,Sept,22,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:30,total lunar eclipse,200BC,Mar,18,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:31,total lunar eclipse,200BC,Sept,12,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:32,partial lunar eclipse,174Bc,May,1,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:33,total lunar eclipse,146BC,Apr,20,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:39,partial lunar eclipse,141BC,Jan,27,Rhodes
Ptolemy Almagest,urn:cite2:chron:astron:42,total lunar eclipse,135BC,Apr,10,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:43,partial lunar eclipse,125AD,Apr,5,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:54,total lunar eclipse,133AD,May,6,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:63,partial lunar eclipse,134AD,Oct,20,Alexandria
Ptolemy Almagest,urn:cite2:chron:astron:69,partial lunar eclipse,136AD,Mar,6,Alexandria
